text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
Almost every job in this State has some connection to the oil industry.....and the only sector not down is the State & City Employee's..!!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
""" protect the children of illegal immigrants from deportation.""

What happened to undocumented migrants?",0.2,0.0,0.0,0.0,0.0,0.2,0.0
"Its obvious to me why the State didn’t pursue this further. I offer the following list of reasons why this is much ado about nothing.
C: Although it may be “extremely careless"" how they handled the tax collection they did not intentionally evade the tax and therefore there should be no prosecution.
C: Its clear they do not remember  being told to collect the tax.
C: I’m sure they told lawyers to take handle all taxes and were not directly involved.
C: While it was a mistake they have taken responsibility for it so it’s clear why the State believed there was no basis to move forward with this case.
C : The State noted in its report that it was unable to track down all of von Imhof taxing equipment as some of it had been destroyed or lost. A staffer told investigators he destroyed two devices ""by breaking them in half or hitting them with a hammer."" The State had requested 13 devices from the law firm representing von Imhof, the firm replied that it could not produce any.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"What labour shortages?

Youth unemployment is still over 15%.

Do they mean a shortage of people who will work for $3 an hour?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I've wintered in the US for the last 15 years--this year is so devastating I am finding myself thinking do I want to stay here, even though I have good friends, a nice home and love the climate. Maybe Michhael Moore is right--that Trump will never be sworn in as president.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It will all start to go wrong very soon.  It's about demographics.  When the population of ""lone-wolves"" gets to a certain point, violence starts.  It's happened in every country with a significant ""acted alone"" population.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
My sincere sympathy to this family and all who are touched by this tragedy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA: and how sweet it is...!!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"@ PoiDoggy
That is your interpretation of which I disagree.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"This might help.  I admit to robbing a bank in Idaho in 1926.  I was never charged or sentenced for this.  I left the United States to then joined the Nazi party and served in the German Army in WWII as a prison guard in Poland where Jews were exterminated in gas chambers. I then went to live in Argentina under a fictitious name.  I have no valid United States passport.  May I have a pardon from the United States government.  Ridiculous.  Outlandish but in Snowden's case he admits to stealing secrets, never being caught or tried, leaving the country and now his passport has be revoked.  Snowden need to be found guilty of something in the United States, sentence, to receive a pardon.  He has informally chosen to a self imposed exile.  He fight is to regain his passport.",0.4,0.0,0.0,0.0,0.4,0.1,0.0
"That would result in Trump being elected. Bernie knows he doesn't have the votes to win, but enough to split the Dem vote, which is why he endorsed her and asked his supporters to do the same.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Democratic Sen. Richard Blumenthal, who sat in on the meeting with committee staff, said that Trump Jr. has not put concerns to rest and is opening up new lines of inquiry.

Oops, ...",0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0
Bought my leather jacket from them in December 2015. Not even a motorcycle rider just like the look.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Are you sure your wife's questions require an answer?  Sometimes women just want to vocalize, or think out loud.  Men who love them want to help, and men tend to be more inclined toward problem solving than kvetching.  Just listen.  ""Uh-huh....really?...I can see how that would bother you...."" Now you have time to read interesting books.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bill Clinton had those characteristics.  Hillary was just his wife; without him, no one would know who she was.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
He lost me when he played the race card. One would think that a Yale type would know better than to do that.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
It looks like they corrected it so all is well.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puna district court gave Fernandez $275,000 bail.  Hilo district court gave 3 child killers less than half the bail at $100,000 a piece.  Big Island CPS are legal third hand killers.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
""" We, of course, can oppose those policies but there is nothing illegal about what she is doing.""

It actually wasn't legal so Wynne passed legislation that made it legal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chicago and DC.   Murder capitals of the US.  Tightest gun laws in  the US.  Does that tell you anything.   You might and I repeat might lower shootings with tighter gun laws, but the nuts will find other ways to carry out their agenda.   People hold up Australia as an example of what tighter gun laws can do, but they still have their own massacres.  Some shootings, but also but other means as well.   Look at some of the recent ISIS attacks.  Not a gun in sight.   Nuts will be nuts.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lol, canadian banks outsource everything to India, you want US to come here:)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jon, they don't take down trees with bulldozers. They use saws.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I'm not sure, but he sure says them loudly.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"What rhymes with ""where there is a will there is a way"" is my question?
Well how about ""Where there is a till a way will be found to plunder it"".
Cynical? Damn right it is and in light of all the corruption currently being uncovered and historically known it would be naïve to ignore this kind of thing.",0.6,0.0,0.5,0.0,0.4,0.0,0.0
"Hanna virus?  Is that what you get when you watch too much Miley Cyrus? 
-
You can get Zika from having sex with someone that has it...  And I hate to tell you this, but a lot of people travel between the Southern US and other countries that have it.  I'm concerned and it isn't like I am planning on having any more kids as who knows the next step. IMHO, the reason nothing has evolved into the huge threats the government warned you about, is because they prevented them.",0.2,0.0,0.1,0.0,0.1,0.0,0.2
"I'm fine with ambiguity, but I think Pope Francis has to stop having synods and letting bishops vote on moral issues.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"So what happened? Omar Khadar was given $10,500,000 because he was sleep deprived by the Americans and now ""Canada's national police, spy and border agencies will be allowed to use information that was likely extracted through torture in order to prevent loss of life or injury."" Is this a Trudeau directive somehow meant to award huge payments to former terrorists returning to Canada?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thank you, paxima.  You said very well what I was trying to say.  We are always limited in interpreting what God is saying.  Doesn't mean we aren't required to try, to do the best we can.  Especially in how we make real Jesus teaching us we must love one another and God.   There is no pat answer to ""love"" and ""God"" there is only a striving to reach for both.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
You mean a couple gun grabber myths don’t you.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Go to a doctor and get rid of it.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Well then, Al, I'd guess your opinion doesn't fit with reality. History doesn't support your opinion.",0.3,0.0,0.0,0.0,0.2,0.0,0.0
"I'm a white man, born in Canada, of British parents. I support and encourage all aboriginals in Canada to peacefully pursue their rights under the Constitution of Canada, and under the Universal Declaration of Human Rights to which Canada is a signatory.

Canada is a prosperous country. But that alone doesn't make us a great nation. Sensibly governed we have enough for all, including the 4% of us who are aboriginal. What will make us great nation is acting justly towards small minorities among us, including those who occupied the land first.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Certainly if the Liberals enjoyed being in that little back corner of the House of Commons, then yes, I'd definitely have to agree with your take on it.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Harcourt got thrown under the bus by his party. He was a great Premier - and looks all the better compared to  what has come after him.,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.0
Nothing wrong with his composition but perhaps your comprehension.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Like the photo radar several years ago it would simply be about revenue and not public safety.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Starbucks will. They don't need or want any more bad press.,0.16666667,0.0,0.0,0.0,0.16666667,0.16666667,0.16666667
"I'm not exactly an optimist about it myself. But every now & then, this strange hopefulness is awakened in me....

No worries. I'll be back to my normal cynicism about the integrity of the Powers That Be (tm) & the wisdom of the Alaska electorate in no time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"She is the minister of foreign affairs for Canada and as such should conduct herself according to that office. Thanks to Trudeau we have fences to mend with the president elect, this will present challenges.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I wonder if the good Professor objects to the US Holocaust Museum and its status as an Independent Federal Agency, partially funded by taxpayers money?  The concept of separation between church and state is a latecomer to the Federalist discussions. The Founding Fathers wanted to make sure Congress didn't pick one of the various State religions and force it one the others.  But they never conceived of such silly emanations and penumbras.",0.2,0.0,0.0,0.0,0.2,0.1,0.0
"Seditionist crone.
Time for a special prosecutor to get to the bottom of her crimes.
Meanwhile there was and remains not  a shred of evidence supporting any Russian interference.",0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.0
Kinda like Point Hope?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firearms are to be a tool of last resort.  Your brain is the first tool.  Be aware of your surroundings.  Stay away from Gun-Free (active victim) Zones.  Know your exit strategy.  Be able to communicate with your loved ones.  But when a bully counteracts all your efforts and wants to take your life I think you might consider being able to have every tool at your disposal to keep your life and the lives of your loved ones.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I'm only stopping by to see how many Trump supporters confuse there, their and they're, as well as your, yore and you're, and how many also misuse the possessive form and/or commit other egregious spelling and grammar errors.  

Don't let me down gang.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Or maybe because today, thanks to the IT revolution and the riches it has brought, it is an extremely stressful, competitive, high-stakes, insecure environment that prevents people from having ""work-life balance"", and that women don't take to that the way men do. There is more to a job than just the core subject.

Other science fields like physics, math, chemistry, biology, engineering are less so, and so overall are more attractive to more women, although still not as much as the other alternatives like medicine, law, accounting, etc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Much more important are the ways diplomatic relations with Germany are still maintained as that country goes down the tubes and insists the EU follow.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanks for those links.  They indeed present a different perspective.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aw c'mon, if you think landscaping is ""seasonal work"", what are all those people doing in the yard raking up debris, cleaning gutters, pruning trees and shrubs, moss abatement, garden prep, etc. And BTW, what is the difference between ""regular homeless"" and homeless?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Really?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It is quite obvious that the author of this article has a vested interest in Canada-North Korean relations.  For that reason his opinion is both bias and worthless and it again reminds me why I cancelled my subscription to the GM.  

Readers don't want self serving articles.",0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.0
Universal health care is now being provided in Japan and most European countries.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
But now it's being promoted by the Post.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I think it is Iran that is lying.
http://www.cnn.com/2017/08/30/middleeast/iran-rejects-us-nuclear-demands/index.html",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fair enough, CIR4474. Thank you. But the numbers of casualties, and even the number of attacks, are still low, I'd maintain. But the point that we probably agree on is that it's the increase that makes people afraid. For me, that fear is not rational.

I checked the list of mass shootings in the U.S. in the same year - shootings in which more than one people were targeted. Those numbers are horrific and, we probably also agree, are worse. People should be afraid of that.",0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.0
"Non-subscribers are allowed to read ten articles per month, with limitations. They may also post comments about those articles if comments are not closed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Great to hear three-out-of-four are healthy and 4 is gettin' there. 
Observations: Brooks-James needs to protect his head more; often last season he'd nod his head quickly and repeatedly after arising after a hit as if he'd been injured. It was a strange behavior, repeated often, that just didn't look right. 
Taj Griffin: he needs to run lower; I kept anticipating a massive hit that, thankfully, never materialized. He runs way too upright to survive multiple carries--- and his <160-pound weight doesn't help. I'd exclusively utilize him on sweeps and short passes into the flat. 
If this group stays reasonably healthy, with Taggart's offensive scheming, it'll lead the PAC-12 and perhaps the country in rushing. Add Herbert and Carrington/Mitchell/Nelson (please, Charles, work on that fumbleitis!)--- and the Duck O won't fail to light it up all season. That, of course, is assuming it has time to: the D cannot let opponents repeatedly drive all game long.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
You have it bass-ackwards.  The legislature needs to start working with the Gov.  Starting with the Chenault-led House.  Governor Walker quite clearly has and is demonstrating leadership.  Take your biased blinders off.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None of these people speaking up for these illegals have to live with them.They are our enemies.,0.7,0.0,0.1,0.1,0.5,0.6,0.0
Are you seriously suggesting the sectors you list do not receive a variety of subsidies and tax expenditures? Wow.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"people pay taxes and companies should not
 governments should make do with less so individuals are not taxed higher
as we all know governments never spend money well
 leave it in the peoples hands",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can the Denver Post create a new section just to cover pot related crime?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Words fail to express this tragedy. Our hearts go out to Carrie’s family and friends.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Great post, but it will go right over their heads.",0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.0
"Where to begin with arguments against the multiple strawmen foisted by this opinion piece. I'll tackle one.
- Alberta's neighbors are committing long term demographic and economic suicide with their high tax policies. The author says that Albertans and are supposed to drink that kool-aid and follow that self- destructive path? I think not. Seriously, think about the last time you bought a good or service that originated or was invented in a socialist society. Something that makes life good... I bet you'll have trouble finding that thing. Once you comprehend the implications of this thought experiment, you'll see my point -- Large numbers of Albertans recognize the need to stay out of Canada's high taxation race to the bottom.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I heard this woman's story several times already and the more she tells it, the more the information  comes out.  ACCORDING TO HER, the dog broke his chain, she tried holding him back and he broke from her grasp and started running ""to see if her boyfriend was alright"".  Where was the security guard?  Well he happened to be right next to her boyfriend.  Can't blame the guy for shooting.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Never called you a Nazi, I did say that you are implying that you are OK with what the driver did.  There is a big difference, I might suggest some English Comp courses, they might help immensely.",0.16666667,0.0,0.0,0.0,0.0,0.16666667,0.0
"Whisky waters, baby.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The 1897-1901-1905-1909-1913 (the four year sockeye life cycle) Fraser River sockeye runs ranged from 27 to 40 million. None reached 50 million. The variations from year to year, and from cohort to cohort, don't seem to allow for easy analysis.

http://www.psc.org/download/32/frp-annual-reports/7605/frpar2015_final.pdf",0.16666667,0.0,0.0,0.0,0.0,0.0,0.0
AKMK847 your hate will gain you nothing   keep it up  you will be the loser for it...,0.46969697,0.030303031,0.015151516,0.0,0.46969697,0.0,0.0
"Sorry, not another Alibaba.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I've been saying this, and I'm not even a prize-winning economist.  But in the end, people don't listen.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"pnw, thats why i think it is so important to teach 'our real history' to every school kid, every year, in every grade. we have to break this 'white privileged' mentality' somehow.",0.2,0.0,0.0,0.0,0.2,0.2,0.0
"You oahuians are funny. State of Hawaii is falling apart and we are building a 20 b rail, and you thing trump has problems.  Keep your eye on the 8 ball...",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drop the speed limit to 45 mph and make the fine $2000 for speeding.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
...including you...,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Please educate yourself-
https://www.commdiginews.com/health-science/climate-change-the-hurricane-myth-18691/",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"How else are we gonna pay for the part-time, ethically ambivalent HNL mayor's personal vanity choo choo project??

(THEIR - politicians - logic, not mine)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
maybe the 9th jerkit court of slameals should be broken up over 90% of there cases are overturned by the supreme court useless circuit court.,0.4,0.0,0.0,0.0,0.4,0.0,0.0
"Why, then, are so many Southern states so very retrograde on social issues?",0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.0
"Everything - no matter what - is one of Trump’s campaign ""platforms"".",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Also the NWPRD taxpayers are subsidizing out of district users who don't pay extra for using the pool except for punch cards that require Oak Harbor ID. This is unlike many other services and institutions that charge extra for non-resident fees. Examples are municipal golf courses, colleges and universities. I know there are other things that don't charge non-resident extra fees or tolls, etc., but this is local taxing district for a very specific and unique demographic.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"This is a poorly structured argument.  The motivation behind subsidized daycare is to ensure lo income families have financial support to care for their children which the Quebec system does.  There are clearly abuses, as with any social safety net system.  The point, which this article fails to address is parents, especially single mothers, need help with childcare.  If you don't like the Quebec system Conrad, what alternatives are you proposing.  We're listening",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Are you a conservative? Because that sounds like pretty standard protectionist interventionism, which I understood to be anathema to the blue-blooded. What happened to the supremacy of the free market? Not that I fully disagree with you (especially with respect to residential property flipping and vacancies), but I will repeat, nobody is holding a gun to the head of any of these sellers and forcing them to sign.

In your opinion, what sort of policies would the government have to institute here? Price fixing? Forbidding transactions to overseas interests? Subsidizing house purchases for citizens who work in the area? Again, I don't necessarily disagree, but these would all be very socialist policies.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mary does that, as it is women's work.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Trump plans 20% tax on Mexican imports to pay for wall"" 

Smoot and Hawley are alive and well.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
What could possibly go WRONG?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trudeau bringing Canadian social baggage and politics into the free trade talks bordered on nutty. 

It's supposed to be a trade deal not some silly attempt on an extra-legal social export on country 10 times the size of Canada and with a business executive as a President.   Only the Liberals could come up with a starting bargaining position as foolish as that. 

...kinda like imposing high carbon standards on Canadian companies and giving imported oil a pass. Policy-wise, completely weird and contradictory. I can see why separatism is back on the rise in Western Canada.",0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.0
"Canada will do just fine.  Don't listen to the chickenhawks commenting on this article.  The Finance Minister is exactly correct.   Both Parties would be negatively impacted, but the USA will be no better off than us and probably worse off.  Trump is unstable, but US industry will make their position strongly felt.  They do not want the Canada-US trade relationship negatively impacted.  They know how important it is.",0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.0
You wouldn't know a fact if it bit you on the (Sullivan).,0.0,0.0,0.0,0.0,0.0,0.0,0.0
You don't get it. Most of these small restaurants are *renting* the property. They have to pay the property tax because that's how most commercial rental contracts work. They will not profit from the sale of the building they are in.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Think Scandinavia and much of Europe. Social Security, free health care, union rights, worker protections, mandatory time off and everything up to stripping ownership from capitalists and giving it to workers, which is cooperative socialism, although most cooperative socialism is accomplished through democratic means at some point, both within the firm and to secure ownership rights.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"So true.  The radical eco-zealotss cannot wrap their minds around the fact that if petroleum is not produced and shipped from here, it will come from elsewhere, probably with lower environmental and safety standards.  No other petroleum-producing jurisdiction on Earth has an economy-wide carbon tax, as Alberta will in 2017.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bush Jr undid 12a orders issued under both Bush Sr and Clinton. It will be undone.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"No, I'm not saying that...I'm merely challenging your assertion that ONLY Democrats lie, and that Trump and Republicans never do.

If Democrats got away with lying to Reagan so easily, as you claim, then Reagan was bigly incompetent.  

Now that we got that cleared up, care to address anything else I posted, or would you rather avoid them?",0.3,0.0,0.0,0.0,0.3,0.0,0.0
UBC made a mistake in cancelling the Furlong event for a host of reasons cited here. A phone call from the president of UBC to apologise is not adequate. The proper decision would have been to apologise and then to extend the invitation again for him to speak. I am disgusted with UBC and their apparent inability to do what is right.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bettcha  China is paying for it!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
She is absolutely corrupt.  Wasting more taxpayer dollars on a nuisance lawsuit.,0.6,0.0,0.0,0.0,0.6,0.0,0.0
"Catou on where BMO's stock was going, made on May 11, 2017: ​

Fun with numbers...

Lets see...if you paid $70 for it in July 2007 and it drops to $80 by July 2017 (I am being generous)...

Well,dividends included I guess that's about 5.5%/year...
*****************************************************************************
Then Catou followed up with this on July 01, 2017: Give me the rest of July.........BMO might hit $80 yet :)
*****************************************************************************
So Cat, we are now approaching mid-August. Do you need to change this already twice-wrong forecast and give it a third try out to 2020?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perfect analogy and so good! 🙏,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A true friend doesn't care what you have, where you live or what you wear.   A true friend is a person that respects and cares for you no matter what.  

Keep and wear the fur coat with pride.  Ditch the 'friend'.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rosa Parks was a hero.  This guy is a convicted prescription drug dealer, who lost his medical license for 15 years for selling illegal narcotic scripts for cash and sex.  The sex was with his office manager.  HE was the one who notified authorities.",0.0,0.0,0.0,0.0,0.0,0.0,0.16666667
"So the Warriors choke away a title last year, and then add the MVP, what a testament to Durant's ability to hop on the bandwagon. The only story would have been if the Warriors found a way to blow it again. Yawn.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thank you for your kind words!  My late wife and I were together for 34 years, all of them happy years, and her sudden fatal heart attack and death haunts me still even after almost three years.  But when I visit and sit on her bench beside the plaque in her memory I do feel almost like she is still there beside me and I find this very comforting.  This is harder to do with a gravestone I expect.  And her siblings and friends also find it much easier and more meaningful to visit her bench than to visit a cemetery no matter how well maintained.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I would agree, except that booze is overtaxed and grossly over regulated.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"With all her Energy Committee power in Congress, Murkowski is lobbying Congress very hard to build six Arctic icebreakers to the tune of $3 trillion, yet she hasn't even given a second thought to evaluating how to help her rural constituency relocate from their sinking islands.  The Arctic is melting and before those six icebreakers are built there won't be any ice in the Arctic.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sorry, I live in Western Canada.  Provinces being given money by the federal government is an alien concept to me.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"'
If my comment was truly a non sequitur, 

…you wouldn't have been compelled to attempt your own 'push back'.

.

…by the way, ...where is your 'quote' from?  

You just making up quotes now?
.
.

As to honest journalism, 

…I'll look to someone else to be the arbiter there,

…you've disqualified yourself from the running a long long time ago.
.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
