text,source,original_id,toxicity,hate_speech,harassment,self_harm,violence,sexual,profanity,spam,label_vector
"If the lefties disagree with you, you are a racist.  No matter the issue: taxes, immigrants, gender rights . . .",tweeteval_hate,hate_19,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Shoutout to me for making the worst decision of my life 🙌🏼,tweeteval_hate,hate_20,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
What's the difference between a blonde and a washing machine? A washing machine won't follow you around all day after you drop a load in it,tweeteval_hate,hate_21,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Well it's a mystery to me too,tweeteval_hate,hate_22,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user Since 1400 years its a fight between muslim and christian religion, which is better and right. The fighter of both sides have blood on her hands. And it dont stop, now many refugees bring war to other countries. Culturell exchange isnt possi",tweeteval_hate,hate_23,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user You're a skank. You are more skilled at shoplifting than trying to be witty.,tweeteval_hate,hate_24,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Have you heard ‘Wavy Bassline Mix (HALLOWEEN SPECIAL)’ by The Skank Bank on #SoundCloud? #np,tweeteval_hate,hate_25,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user @user @user @user @user @user You don't stand for Canadian workers: “Wages in rich countries are determined more by immigration control  than anything else, including any minimum wage legislation.",tweeteval_hate,hate_26,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"First one officer was in Calais injured. Police open fire to 9 refugees, which want to go to Greatbritan by car.",tweeteval_hate,hate_27,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
HOLLERINGGGGGGG. stupid baby bitch.,tweeteval_hate,hate_28,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Boris Johnson Mustafa Kamal grandson of Turkish Muslim immigrant.,tweeteval_hate,hate_29,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Working on #memories #immigrant #lives #newyork #theworld @ New York, New York",tweeteval_hate,hate_30,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
That the price for bombing a country and kill Ghaddaffi through French and British forces. Now Liyba dont like to keep refugees for the EU.,tweeteval_hate,hate_31,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user @user @user How about holding parents responsible for breaking the law and endangering their children by illegally crossing the US border!  Catch and release is not a solution it's art of the US immigration problem!,tweeteval_hate,hate_32,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"This is what a home repair looks like in the #refugee camps of #Bangladesh. A #Rohingya woman uses her hands to spread mud over the cracks in her home. In the midst of #monsoon season, these homes are at constant risk of washing away. You can help:",tweeteval_hate,hate_33,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user bonnie is a sneaky cunt bitch and she probably has something to do with whatever happened to laurels baby,tweeteval_hate,hate_34,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
When it's not your fathers birthday...,tweeteval_hate,hate_35,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Imagine as a parent giving birth to a hoe like Shamiso who gives out her pussy for cash? S/O to women who work hard for their own things,tweeteval_hate,hate_36,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"I am a proud, Mexican immigrant. I love this country.   I've been told all my life I should be a democrat because I'm Mexican, an immigrant and a minority. That is absolute trash.   The democRats hate America and want to take away our rights given to us in the constitution.",tweeteval_hate,hate_37,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user Bitch is a ugly 3rd world kunt wit no ass and flopper jugs. Hate her,tweeteval_hate,hate_38,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
When the DJ plays your joint and the whole crew gets lit,tweeteval_hate,hate_39,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Many lice you will find in Viennese schools. Some refugees has brought us this as gift. To rescue it will cost 30 â‚¬ a person.,tweeteval_hate,hate_40,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
When your friend moves away to be with someone...,tweeteval_hate,hate_41,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
#BuildThatWall #Meritbased get the ILLEGAL situation under control. ILLEGAL is ILLEGAL. #MAGA #AMERICAFIRST #BacktheBlue #ICE #Respect,tweeteval_hate,hate_42,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Every time you say 'not all men' you are part of the problem. Claiming that telling men to step their game up only alienates good men is BS.,tweeteval_hate,hate_43,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user >THE 'COUNTRY' FORMERLY KNOWN AS '#France' IS 'SO FAR GONE' THAT THEY DON'T EVEN CALL '#Terrorism' '#Terrorism' ANYMORE'#ParisAttack' IS THE 'NEW OFFICIAL PERMANENT HASHTAG' OF '#Paris'#refugeesNOTwelcome #Brexit #MAGA,tweeteval_hate,hate_44,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Refugees resettled in the U.S. help grow our economy. In 2015, 13% of refugees living in the U.S. were entrepreneurs, compared to 9% of the U.S.-born population.Help refugees access the vital services they need to give back to their communities. âž",tweeteval_hate,hate_45,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
15 Minutes free Eligibility Assessment for NZ Immigration,tweeteval_hate,hate_46,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user @user You're aware that not all men like women right? Get out of your bubble,tweeteval_hate,hate_47,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
World Relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the U.S.-Mexico border. You can make a difference and help reunite families by making a donation today. âž,tweeteval_hate,hate_48,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Its time - to stop the immigration - to USA ! Specially from 40 muslim countries. The president named it: SHITHOLE-countries. And he is right and also his wall must be build. But all foreign invaders inside of USA must go home !,tweeteval_hate,hate_49,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
What the White House has come up with has been shot down by Crime loving Democrats #BuildThatWall #MondayMotivation #BuildThatDamnWallNow,tweeteval_hate,hate_50,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"We will have representatives at Saturday's ""Share the Journey"" event and facilitating the lunch time refugee...",tweeteval_hate,hate_51,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
When you ride past that bitch that don't like you,tweeteval_hate,hate_52,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Most people want to be loved... But I thrive on being hated,tweeteval_hate,hate_53,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"'I understand your pain but not all men are like this' First of all, you just centered yourself into MY trauma THAT YOU DONT UNDERSTAND",tweeteval_hate,hate_54,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user @user @user @user @user This is really interesting! Thank you for sharing your expertise with refugees here in Jordan, many of whom we serve at our organization.",tweeteval_hate,hate_55,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
When you join a relationship women leave this part out #YesAllMen,tweeteval_hate,hate_56,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Riot: Muslim migrants take to the streets in Italy demanding law to allow mosque building by taxpayers' money - Free Speech Time - @user,tweeteval_hate,hate_57,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user Okay good. As long as the Men are comrades with same belief/movement can join same group to fight enemies,tweeteval_hate,hate_58,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Sure... And I wear condoms 👌🏼,tweeteval_hate,hate_59,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
If Superman were real rn I would make his bitch ass spin around the earth or threaten to rape Lois Lane lol I would go that far for cod lol,tweeteval_hate,hate_60,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Home should never break you in two so wherever you go you are never whole; half of you remains where you left it, and the other half is rejected where you arrive- @user #TEDxExeter 2018 #Refugees #Poetry #SpokenWord",tweeteval_hate,hate_61,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user Does Great Britain need a Wall too now?? #BuildThatWall,tweeteval_hate,hate_62,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
The bitch flipped millions for em she deserved it..most women would've jacked it off,tweeteval_hate,hate_63,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Something y'all dudes fail to realize about a pretty girl is; she's never lonely. 💁🏼,tweeteval_hate,hate_64,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
When you get your ex as your waitress,tweeteval_hate,hate_65,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user i heart Trump #Trumptrain #BuildThatWall 486,tweeteval_hate,hate_66,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
When it's time to switch up your roster,tweeteval_hate,hate_67,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user stupid bitch i hate you,tweeteval_hate,hate_68,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Absurdity! The Swedes overwhelmingly voted for Democracy, Freedom, Human Rights, and the Nectar of Rapefugee welfare! I'm so moved I'm willing to fund 10 of the local Roachingfugees to fuck off there & never return. I hope the Swedish Gormint funds me in this grand undertaking.",tweeteval_hate,hate_69,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"@user @user What a stupid bitch , talks utter shite this woman . pure fucking evil too .",tweeteval_hate,hate_70,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
I'm sorry but you damn hoe and you don't even know it 🤦🏾‍♂️,tweeteval_hate,hate_71,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user Must take decisive action for sealing borders with B'desh to prevent rampant illegal migration encouraged by one community,tweeteval_hate,hate_72,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Family reunification for refugees resumes in Germany,tweeteval_hate,hate_73,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Here comes your third world cultural enrichment #gutmensch #FakeFugees #SendThemBack #DrainEurope #DrainTheElites Nuremberg 2.0 3 #Nexit #VoteLeave #LeaveEU #TimmermansForJail #MerkelInsKnast #SargentiniForPrison,tweeteval_hate,hate_74,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
When you walk past someone and they mumble somethin under their breath,tweeteval_hate,hate_75,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
When she sees your dick for the first time and it's bigger than she expected,tweeteval_hate,hate_76,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
All my friends live vicariously through my penis,tweeteval_hate,hate_77,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Don't text these hoes... If you're doing your job right they'll text you when you're needed,tweeteval_hate,hate_78,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
The Homeland Security in USA knows that refugees of all countries into the USA is a highrisk for the USA and shoud be stopped quick.,tweeteval_hate,hate_79,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user Boner killer? Hardly! I’m sure you’ve heard the joke about the best part of having sex with a preggo.,tweeteval_hate,hate_80,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Pro-Mass Immigration &amp; Open Boarders Billionaire Koch Brothers Threaten to Support Democrats #StopTheInvasion v,tweeteval_hate,hate_81,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Immigration: The US lost track of almost 1,500 children last year. Here's why people are outraged now. -",tweeteval_hate,hate_82,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user if you count prison rape men are raped more than women.,tweeteval_hate,hate_83,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Apparently the Dutch Red Cross is trying to raise funds for the repatriation of Syrian refugees. Which seems both premature and irresponsible.,tweeteval_hate,hate_84,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user @user A man with 3 wives, 15 women accused him of assault, 13 yr old girl accused him of rape, makes speech about religion &; values. Funny!",tweeteval_hate,hate_85,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Tory is going to pay in 2018 for the sins of 2014 (Kouvalis, SmartTrack). Cf Wynne and gas plants. Toronto Mayor John Tory Just Hired The Guy Who Ran Canada’s Worst Anti-Immigrant Campaign, Again(https://t.co/OZiSfOXPhS)",tweeteval_hate,hate_86,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user @user @user She is a filthy whore cunt. Didnt change her own name when she got married but…,tweeteval_hate,hate_87,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"MY VOICE WILL NOT BE SILENT. YOU NAZI PIGS WILL PAY FOR MY RAPE AND THE RAPE OF ALL WOMEN ✊🏿, CHILDREN, PRISONERS ✊🏿, LGBTQ 🌈, ELDERLY, ....",tweeteval_hate,hate_88,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Fuck you Noot Noot Harime fucking fashion cunt tailor cunt looking bug as eye looking no arm be having bitch,tweeteval_hate,hate_89,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Over 62 million people voted for @user b/c of policies clearly stated at dozens of rallies. #BuildThatWall #TaxCutReformBill #EliminateRegulations #ConstitutionalistsOnSCOTUS #AmericaFirstTradePolicy #EndGovermentWaste #ReformTheVA #DestroyISIS Keeping Promices #MAGA,tweeteval_hate,hate_90,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Idk why people tell me their problems... All I do is repeatedly ask 'why' like a 4 year old that's not getting his way... Then I laugh,tweeteval_hate,hate_91,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
C'mon everyone Re-Tweet this to spread the word! #WomenSuck,tweeteval_hate,hate_92,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user KINDLY ASKS ALL PATRIOTS TO CALL DC. REPS. AND TELL THEM FUND THE WALLL #BuildThatWall #angelfamilies #Deplorables #ICE #usa #vets #KAG #MAGA #Americafirst #TrumpTrain2020 #BORDER #Winning #bigleague #LiberalismIsAMentalDisorder #Trump,tweeteval_hate,hate_93,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
ICRC: A lot of work to do before Rohingya refugees can return to Myanmar,tweeteval_hate,hate_94,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Yes @user would be great to have a chance to chat and tell you more about @user focus on the positive economic contributions of immigrants  @user @user,tweeteval_hate,hate_95,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
#ElinErsson The answer is NOT to support mass migration into European nations. The ANSWER IS MASS PROTESTS of damage of Western invasions in Middle East &amp; stripping resources from Africa (by elite). When will SJW learn? They do not read or understand what has been happening,tweeteval_hate,hate_96,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
#IndiaForIndians Bangladeshi enter India illegally. Go home. Assam don't want Bangladeshi immigrant,tweeteval_hate,hate_97,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
You look like your mom beat you with an ugly stick while your dad poured cat piss all over you.,tweeteval_hate,hate_98,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Tajani, Weber on migrant issue as they arive for EU summit",tweeteval_hate,hate_99,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user @user LOL... they didn't applaud a rape threat.. .how long are you going to ride that shit?,tweeteval_hate,hate_100,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
shes a fucking bitch and has a drinking problem but that pussy good,tweeteval_hate,hate_101,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user should fire @user NOW for calling @user a whore! He can't stand strong black women,tweeteval_hate,hate_102,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user @user Oh my god hahaha! Yeh Rardi! How dare you have bare walls in the middle of decorating . Just do it the skank way and paper over the previous...,tweeteval_hate,hate_103,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"...worked to own a middle-class home, a home now subjected to property taxes to pay for daycare of illegal immigrant children (and children of illegal immigrants) that is necessary for those immigrants to take jobs in the local chicken processing plant? 2/",tweeteval_hate,hate_104,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"This bitch needs to get a life already, jobless skank go do something productive",tweeteval_hate,hate_105,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user @user Iligal refugees should go home with kids.,tweeteval_hate,hate_106,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"RT @user NOOOOOOO FUCCCKING WAY, WHAT A BITCH!!!!! YOU THOUGHT ABOUT HOOKIN UP WITH ANOTHER GUY WHILE YOU HAVE A BOYFRIEND. YOU CUNT!!!",tweeteval_hate,hate_107,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
RT @user bitch shut the fuck up you're fucking your best friends dad,tweeteval_hate,hate_108,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Lisdoonvarna, a village earmarked for replacement. Along with a growing number of other towns and cities right across Ireland. Listen to Irish (FG) Minister for 'Equality, Immigration and...",tweeteval_hate,hate_109,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user @user @user @user Good shut it all down let's get this wall built, if was up to me illegals would leave this country by Catapulting not ICE. #DeportByCatapulting #StopOpenBorders #BuildThatWall #MAGA",tweeteval_hate,hate_110,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Agree 100% !  #SneakyKevinYoder tries to pull a fast one on us!  #SkilledTradeEducationNeededNow #NoIllegals #StopImmigration while our country gets our own act together first. No more secret sneaky back alley passing of bills, da*n it! @user @user",tweeteval_hate,hate_111,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Hundreds of Syrian refugees return home from Lebanon - ABC News,tweeteval_hate,hate_112,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
RT @user @user is my #MCM because he gave me a dirty shout out on Instagram. #romancein2016,tweeteval_hate,hate_113,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user #Subway #Cowards #StopTheInvasion If they do now want to embrace our customs they should go back to their country of origin.,tweeteval_hate,hate_114,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
EVERYDAY YOU SHOVE 'NOT ALL MEN' DOWN THE THROATS OF WOMEN TALKING ABOUT THEIR EXPERIENCES. ARE YOU NOT TIRED? ARE YOU NOT FREAKING TIRED??,tweeteval_hate,hate_115,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"I like to blog about masculinity, fascism, alternative ideas, heres my next account",tweeteval_hate,hate_116,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Illegal Alien Who Had Already Been Deported In The Past Returns To Florida & Sexual Assaults A Young Girl Then Nearly Beats Her To Death #BuildThatWall,tweeteval_hate,hate_117,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user All the EU you wants us to fill the Immigration quotes use our troops during wars and tell us we are pathetic we want justice,tweeteval_hate,hate_118,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
What would you do if a girl kicked you in the balls... — Imma cunt punt tf outta hoe 'for no reason',tweeteval_hate,hate_119,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
It's the most deadly sea journey a refugee could take. And it's time to sound the alarm. ðŸš¨https://t.co/uOESX0Wqsv,tweeteval_hate,hate_120,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Please let your MPs know we do not want any more migrants we cant afford them we do not want a cologne or a free for all enoughs enough,tweeteval_hate,hate_121,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
I REWARDED MY LIL SISSY SLUT & ALLOWED HER TO GO ENJOY & BE A WHORE @ LOCAL GLORY HOLE ..I'm such a good mommy to m…,tweeteval_hate,hate_122,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user CNN the immigration activist,tweeteval_hate,hate_123,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user Ask ur reporters to file stories on pathetic Delhi conditions after AAP came to power.Hawkers,illegal migrants,jhugis taken over",tweeteval_hate,hate_124,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Loool I tried using my card abroad n the cunt hoe sket worker was like 'ur card declined maybe u dnt have enough' I…,tweeteval_hate,hate_125,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user Bottom line is you are a paid fake account coming to the support of a rape enabler. Pretty sick.,tweeteval_hate,hate_126,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"RT @user Her:I don't get what u want outta this relationship Him:Well, I was only looking for a bj but u kept coming back",tweeteval_hate,hate_127,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
ALSO PRETTY SURE YOU DON'T HAVE THE RIGHT TO BE A PSYCHOTIC CUNT TO YOUR EX WHEN YOU'RE THE TRIFLING ASS WHORE WHO CHEATED IN THE 1ST PLACE,tweeteval_hate,hate_128,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"When getting #medical help is not an option, undocumented #migrant workers in #Malaysia chose death @user @user @user @user @user @user @user @user @user @user",tweeteval_hate,hate_129,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"There is no positive in putting children in cages, Lying to immigrants so they go home without their children, taking their children away from them. You want positive, just do the right things.",tweeteval_hate,hate_130,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user @user Mate, as a North Easterner you're of Norwegian descent. The fuck you doing in England, trying to influence Swedish politics? #stoptheinvasion",tweeteval_hate,hate_131,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Katie Hop it Hopkins you couldnt fit a dummy in your mouth its to big, open it a wee bit more and we can use it for a migrant hotel",tweeteval_hate,hate_132,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"They're replaceable, your time is not",tweeteval_hate,hate_133,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user These women just whore themselves out.,tweeteval_hate,hate_134,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
I hate playing never have I ever cause I have,tweeteval_hate,hate_135,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user Best solution to bring permanent peace in Valley is to encourage migration of Sikhs,Jats&amp;Rajputs to Valley,set up business",tweeteval_hate,hate_136,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Don't let the world ending distract you from the fact that you're a hoe.,tweeteval_hate,hate_137,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Illegal aliens STRANGLED DOGS on the Texas border. #BuildThatWall,tweeteval_hate,hate_138,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Watch 10 Italian police officers try to arrest an illegal immigrant standing on bus - Free Speech Time - @user,tweeteval_hate,hate_139,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
@user @user I just posted the original but nice try,tweeteval_hate,hate_140,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
THIS IS FUCKING CHICHARRÓN YOU BITCH,tweeteval_hate,hate_141,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"@user @user @user Hispanics are the hardest hit by Illegal Immigration it impacts their wages, jobs and communites as well as African Americans #WalkAway  #WalkAwayFromDemocrats",tweeteval_hate,hate_142,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user @user I hope not cause I fuck lots of my followers 🙃,tweeteval_hate,hate_143,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
RT @user 'You miss 100% of the shots you don't take.' -- Wayne Gretzky,tweeteval_hate,hate_144,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
She wanna be a stingray so bad,tweeteval_hate,hate_145,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Stunning Video Shows Global Migration Flows Into The US | Zero Hedge Military attack will not work,bastards want to conquer USA with overwhelming 3rd world refugees...",tweeteval_hate,hate_146,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
When women are depressed they either eat or go shopping.... Men invade another country.,tweeteval_hate,hate_147,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
